source,class,confidence
bogotatraffic.jpg,bus,0.9378
bogotatraffic.jpg,bus,0.8565
bogotatraffic.jpg,car,0.8212
bogotatraffic.jpg,car,0.8111
bogotatraffic.jpg,car,0.7882
bogotatraffic.jpg,car,0.7608
bogotatraffic.jpg,car,0.6632
bogotatraffic.jpg,person,0.6542
bogotatraffic.jpg,car,0.6517
bogotatraffic.jpg,car,0.6129
bogotatraffic.jpg,car,0.5912
bogotatraffic.jpg,car,0.5577
bogotatraffic.jpg,car,0.5347
bogotatraffic.jpg,car,0.5263
bogotatraffic.jpg,car,0.4507
bogotatraffic.jpg,car,0.4241
bogotatraffic.jpg,car,0.3883
bogotatraffic.jpg,motorcycle,0.2928
bogotatraffic.jpg,motorcycle,0.2809
